CountryOrTerritory,ReportingYear,UpdateTime,StationLocalId,SamplingPointLocalId,SamplingPoint_Latitude,SamplingPoint_Longitude,Pollutant,AggregationType,Namespace,Unit,BeginPosition,EndPosition,Validity,Verification,DataCoverage,DataCapture,TimeCoverage,AQValue
Netherlands,2017,2018-10-09T21:18:14.083Z,STA-NL00934,SPO-NL00934_00008_111,53.33166504,6.27750874,Nitrogen dioxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,ug.m-3,1/1/2017,1/1/2018,Valid,Verified,94.00684932,94.00684932,100,8.31731511
Netherlands,2017,2018-10-09T21:18:14.083Z,STA-NL00938,SPO-NL00938_00008_100,53.24694443,6.60889721,Nitrogen dioxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,ug.m-3,1/1/2017,1/1/2018,Valid,Verified,99.6347032,99.6347032,100,11.08726053
Netherlands,2017,2018-10-09T21:18:14.083Z,STA-NL00937,SPO-NL00937_00008_100,53.21805573,6.57889986,Nitrogen dioxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,ug.m-3,1/1/2017,1/1/2018,Valid,Verified,96.65525114,96.65525114,100,24.78170189
Netherlands,2017,2018-10-09T21:18:14.083Z,STA-NL00918,SPO-NL00918_00008_101,52.91691589,5.57349157,Nitrogen dioxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,ug.m-3,1/1/2017,1/1/2018,Valid,Verified,97.69406393,97.69406393,100,9.68206122
Netherlands,2017,2018-10-09T21:18:14.083Z,STA-NL00929,SPO-NL00929_00008_100,52.87666321,6.9333334,Nitrogen dioxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,ug.m-3,1/1/2017,1/1/2018,Valid,Verified,98.29908676,98.29908676,100,10.50815119
Netherlands,2017,2018-10-09T21:18:14.083Z,STA-NL00538,SPO-NL00538_00008_111,52.80472183,5.05084181,Nitrogen dioxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,ug.m-3,1/1/2017,1/1/2018,Valid,Verified,97.37442922,97.37442922,100,12.16566939
Netherlands,2017,2018-10-09T21:18:14.083Z,STA-NL00818,SPO-NL00818_00008_100,52.65500259,6.01806974,Nitrogen dioxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,ug.m-3,1/1/2017,1/1/2018,Valid,Verified,98.24200913,98.24200913,100,11.05368928
Netherlands,2017,2018-10-09T21:18:14.083Z,STA-NL00551,SPO-NL00551_00008_100,52.463014,4.601922,Nitrogen dioxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,ug.m-3,1/1/2017,1/1/2018,Valid,Verified,98.47031963,98.47031963,100,26.55001158
Netherlands,2017,2018-10-09T21:18:14.083Z,STA-NL00701,SPO-NL00701_00008_100,52.45000076,4.8166666,Nitrogen dioxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,ug.m-3,1/1/2017,1/1/2018,Valid,Verified,97.26027397,97.26027397,100,22.28240609
Netherlands,2017,2018-10-09T21:18:14.083Z,STA-NL00704,SPO-NL00704_00008_100,52.43000031,4.76999998,Nitrogen dioxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,ug.m-3,1/1/2017,1/1/2018,Valid,Verified,97.64840183,97.64840183,100,26.4081833
Netherlands,2017,2018-10-09T21:18:14.083Z,STA-NL00617,SPO-NL00617_00008_100,52.423211,5.593378,Nitrogen dioxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,ug.m-3,1/1/2017,1/1/2018,Valid,Verified,98.33333333,98.33333333,100,13.33362665
Netherlands,2017,2018-10-09T21:18:14.083Z,STA-NL00546,SPO-NL00546_00008_100,52.420219,4.832064,Nitrogen dioxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,ug.m-3,1/1/2017,1/1/2018,Valid,Verified,98.35616438,98.35616438,100,30.41997446
Netherlands,2017,2018-10-09T21:18:14.083Z,STA-NL00703,SPO-NL00703_00008_100,52.40000153,4.73000002,Nitrogen dioxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,ug.m-3,1/1/2017,1/1/2018,Valid,Verified,98.59589041,98.59589041,100,19.76776658
Netherlands,2017,2018-10-09T21:18:14.083Z,STA-NL00012,SPO-NL00012_00008_101,52.3900032,4.88805819,Nitrogen dioxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,ug.m-3,1/1/2017,1/1/2018,Valid,Verified,98.67579909,98.67579909,100,35.44670291
Netherlands,2017,2018-10-09T21:18:14.083Z,STA-NL00807,SPO-NL00807_00008_101,52.38916779,6.40361404,Nitrogen dioxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,ug.m-3,1/1/2017,1/1/2018,Valid,Verified,89.45205479,89.45205479,100,12.15322868
Netherlands,2017,2018-10-09T21:18:14.083Z,STA-NL00003,SPO-NL00003_00008_101,52.38888931,4.94389725,Nitrogen dioxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,ug.m-3,1/1/2017,1/1/2018,Valid,Verified,98.13926941,98.13926941,100,23.99754565
Netherlands,2017,2018-10-09T21:18:14.083Z,STA-NL00002,SPO-NL00002_00008_101,52.38500214,4.87611961,Nitrogen dioxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,ug.m-3,1/1/2017,1/1/2018,Valid,Verified,99.28082192,99.28082192,100,48.38676554
Netherlands,2017,2018-10-09T21:18:14.083Z,STA-NL00007,SPO-NL00007_00008_101,52.38111115,4.84501123,Nitrogen dioxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,ug.m-3,1/1/2017,1/1/2018,Valid,Verified,96.99771689,96.99771689,100,43.87062492
Netherlands,2017,2018-10-09T21:18:14.083Z,STA-NL00022,SPO-NL00022_00008_101,52.37888718,4.79361963,Nitrogen dioxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,ug.m-3,1/1/2017,1/1/2018,Valid,Verified,98.76712329,98.76712329,100,21.56892047
Netherlands,2017,2018-10-09T21:18:14.083Z,STA-NL00020,SPO-NL00020_00008_101,52.3758316,4.86084175,Nitrogen dioxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,ug.m-3,1/1/2017,1/1/2018,Valid,Verified,99.00684932,99.00684932,100,43.52858295
Netherlands,2017,2018-10-09T21:18:14.083Z,STA-NL00019,SPO-NL00019_00008_101,52.3730545,4.90500307,Nitrogen dioxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,ug.m-3,1/1/2017,1/1/2018,Valid,Verified,99.53196347,99.53196347,100,29.53807775
Netherlands,2017,2018-10-09T21:18:14.083Z,STA-NL00550,SPO-NL00550_00008_100,52.370511,4.642319,Nitrogen dioxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,ug.m-3,1/1/2017,1/1/2018,Valid,Verified,99.7260274,99.7260274,100,27.27724587
Netherlands,2017,2018-10-09T21:18:14.083Z,STA-NL00014,SPO-NL00014_00008_100,52.3599968,4.8088975,Nitrogen dioxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,ug.m-3,1/1/2017,1/1/2018,Valid,Verified,98.40182648,98.40182648,100,25.19041762
Netherlands,2017,2018-10-09T21:18:14.083Z,STA-NL00017,SPO-NL00017_00008_101,52.35805511,4.9000001,Nitrogen dioxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,ug.m-3,1/1/2017,1/1/2018,Valid,Verified,97.19178082,97.19178082,100,35.17531124
Netherlands,2017,2018-10-09T21:18:14.083Z,STA-NL00561,SPO-NL00561_00008_100,52.333561,4.773589,Nitrogen dioxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,ug.m-3,1/1/2017,1/1/2018,Valid,Verified,99.15525114,99.15525114,100,30.5321667
Netherlands,2017,2018-10-09T21:18:14.083Z,STA-NL00565,SPO-NL00565_00008_100,52.32745,4.715072,Nitrogen dioxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,ug.m-3,1/1/2017,1/1/2018,Valid,Verified,99.07534247,99.07534247,100,23.54919921
Netherlands,2017,2018-10-09T21:18:14.083Z,STA-NL00021,SPO-NL00021_00008_101,52.32138824,4.98889446,Nitrogen dioxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,ug.m-3,1/1/2017,1/1/2018,Valid,Verified,98.11643836,98.11643836,100,22.49367073
Netherlands,2017,2018-10-09T21:18:14.083Z,STA-NL00444,SPO-NL00444_00008_100,52.29805374,4.51028633,Nitrogen dioxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,ug.m-3,1/1/2017,1/1/2018,Valid,Verified,99.10958904,99.10958904,100,14.30828149
Netherlands,2017,2018-10-09T21:18:14.083Z,STA-NL00564,SPO-NL00564_00008_100,52.287428,4.766678,Nitrogen dioxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,ug.m-3,1/1/2017,1/1/2018,Valid,Verified,97.60273973,97.60273973,100,23.1219883
Netherlands,2017,2018-10-09T21:18:14.083Z,STA-NL00549,SPO-NL00549_00008_100,52.257361,5.235903,Nitrogen dioxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,ug.m-3,1/1/2017,1/1/2018,Valid,Verified,97.6826484,97.6826484,100,18.7781068
Netherlands,2017,2018-10-09T21:18:14.083Z,STA-NL00547,SPO-NL00547_00008_100,52.235083,5.181553,Nitrogen dioxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,ug.m-3,1/1/2017,1/1/2018,Valid,Verified,99.61187215,99.61187215,100,23.49880471
Netherlands,2017,2018-10-09T21:18:14.083Z,STA-NL00641,SPO-NL00641_00008_100,52.203056,4.988614,Nitrogen dioxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,ug.m-3,1/1/2017,1/1/2018,Valid,Verified,97.92237443,97.92237443,100,32.39306364
Netherlands,2017,2018-10-09T21:18:14.083Z,STA-NL00633,SPO-NL00633_00008_101,52.138889,4.838336,Nitrogen dioxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,ug.m-3,1/1/2017,1/1/2018,Valid,Verified,95.75342466,95.75342466,100,16.0362792
Netherlands,2017,2018-10-09T21:18:14.083Z,STA-NL00738,SPO-NL00738_00008_100,52.11249924,5.70861912,Nitrogen dioxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,ug.m-3,1/1/2017,1/1/2018,Valid,Verified,99.36073059,99.36073059,100,15.22019301
Netherlands,2017,2018-10-09T21:18:14.083Z,STA-NL00636,SPO-NL00636_00008_111,52.106111,5.125286,Nitrogen dioxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,ug.m-3,1/1/2017,1/1/2018,Valid,Verified,97.42009132,97.42009132,100,28.56687719
Netherlands,2017,2018-10-09T21:18:14.083Z,STA-NL00643,SPO-NL00643_00008_100,52.10222244,5.12833357,Nitrogen dioxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,ug.m-3,1/1/2017,1/1/2018,Valid,Verified,99.21232877,99.21232877,100,22.12969968
Netherlands,2017,2018-10-09T21:18:14.083Z,STA-NL00722,SPO-NL00722_00008_111,52.0925,6.605839,Nitrogen dioxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,ug.m-3,1/1/2017,1/1/2018,Valid,Verified,86.59817352,86.59817352,100,13.14038359
Netherlands,2017,2018-10-09T21:18:14.083Z,STA-NL00404,SPO-NL00404_00008_111,52.07805634,4.28917217,Nitrogen dioxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,ug.m-3,1/1/2017,1/1/2018,Valid,Verified,96.13013699,96.13013699,100,24.40223844
Netherlands,2017,2018-10-09T21:18:14.083Z,STA-NL00445,SPO-NL00445_00008_100,52.075,4.316125,Nitrogen dioxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,ug.m-3,1/1/2017,1/1/2018,Valid,Verified,96.41552511,96.41552511,100,33.93802746
Netherlands,2017,2018-10-09T21:18:14.083Z,STA-NL00639,SPO-NL00639_00008_101,52.068889,5.121114,Nitrogen dioxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,ug.m-3,1/1/2017,1/1/2018,Not valid,Verified,74.62328767,74.62328767,100,30.84999999
Netherlands,2017,2018-10-09T21:18:14.083Z,STA-NL00446,SPO-NL00446_00008_100,52.03972244,4.36056376,Nitrogen dioxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,ug.m-3,1/1/2017,1/1/2018,Valid,Verified,97.23744292,97.23744292,100,26.85695585
Netherlands,2017,2018-10-09T21:18:14.083Z,STA-NL00496,SPO-NL00496_00008_100,51.978056,4.121389,Nitrogen dioxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,ug.m-3,1/1/2017,1/1/2018,Valid,Verified,97.70547945,97.70547945,100,28.59846944
Netherlands,2017,2018-10-09T21:18:14.083Z,STA-NL00644,SPO-NL00644_00008_100,51.97464,4.92343,Nitrogen dioxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,ug.m-3,1/1/2017,1/1/2018,Valid,Verified,97.3630137,97.3630137,100,17.38407081
Netherlands,2017,2018-10-09T21:18:14.083Z,STA-NL00491,SPO-NL00491_00008_100,51.938056,4.431111,Nitrogen dioxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,ug.m-3,1/1/2017,1/1/2018,Valid,Verified,99.8173516,99.8173516,100,37.75490621
Netherlands,2017,2018-10-09T21:18:14.083Z,STA-NL00495,SPO-NL00495_00008_100,51.9319458,4.22777796,Nitrogen dioxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,ug.m-3,1/1/2017,1/1/2018,Valid,Verified,99.71461187,99.71461187,100,31.14523182
Netherlands,2017,2018-10-09T21:18:14.083Z,STA-NL00493,SPO-NL00493_00008_100,51.926944,4.461667,Nitrogen dioxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,ug.m-3,1/1/2017,1/1/2018,Valid,Verified,98.98401826,98.98401826,100,44.30123399
Netherlands,2017,2018-10-09T21:18:14.083Z,STA-NL00494,SPO-NL00494_00008_100,51.921111,4.401389,Nitrogen dioxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,ug.m-3,1/1/2017,1/1/2018,Valid,Verified,94.32648402,94.32648402,100,31.33188914
Netherlands,2017,2018-10-09T21:18:14.083Z,STA-NL00418,SPO-NL00418_00008_111,51.91500092,4.48028898,Nitrogen dioxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,ug.m-3,1/1/2017,1/1/2018,Valid,Verified,98.75570776,98.75570776,100,31.63162061
Netherlands,2017,2018-10-09T21:18:14.083Z,STA-NL00433,SPO-NL00433_00008_111,51.91139221,4.32695293,Nitrogen dioxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,ug.m-3,1/1/2017,1/1/2018,Valid,Verified,99.31506849,99.31506849,100,34.06634252
Netherlands,2017,2018-10-09T21:18:14.083Z,STA-NL00488,SPO-NL00488_00008_100,51.89389038,4.48749971,Nitrogen dioxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,ug.m-3,1/1/2017,1/1/2018,Valid,Verified,98.68721461,98.68721461,100,28.18948524
Netherlands,2017,2018-10-09T21:18:14.083Z,STA-NL00487,SPO-NL00487_00008_100,51.89111328,4.48111105,Nitrogen dioxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,ug.m-3,1/1/2017,1/1/2018,Valid,Verified,99.5890411,99.5890411,100,40.51985327
Netherlands,2017,2018-10-09T21:18:14.083Z,STA-NL00489,SPO-NL00489_00008_100,51.86888885,4.57472229,Nitrogen dioxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,ug.m-3,1/1/2017,1/1/2018,Valid,Verified,99.7260274,99.7260274,100,37.97889193
Netherlands,2017,2018-10-09T21:18:14.083Z,STA-NL00485,SPO-NL00485_00008_100,51.86610794,4.35527754,Nitrogen dioxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,ug.m-3,1/1/2017,1/1/2018,Valid,Verified,99.78310502,99.78310502,100,26.88322845
Netherlands,2017,2018-10-09T21:18:14.083Z,STA-NL00741,SPO-NL00741_00008_100,51.848889,5.858061,Nitrogen dioxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,ug.m-3,1/1/2017,1/1/2018,Valid,Verified,97.97945205,97.97945205,100,32.1627869
Netherlands,2017,2018-10-09T21:18:14.083Z,STA-NL00742,SPO-NL00742_00008_100,51.838889,5.858061,Nitrogen dioxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,ug.m-3,1/1/2017,1/1/2018,Valid,Verified,99.09817352,99.09817352,100,22.79054256
Netherlands,2017,2018-10-09T21:18:14.083Z,STA-NL00442,SPO-NL00442_00008_100,51.80065918,4.70821381,Nitrogen dioxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,ug.m-3,1/1/2017,1/1/2018,Valid,Verified,99.543379,99.543379,100,22.93368692
Netherlands,2017,2018-10-09T21:18:14.083Z,STA-NL00437,SPO-NL00437_00008_101,51.78749847,4.45084143,Nitrogen dioxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,ug.m-3,1/1/2017,1/1/2018,Valid,Verified,97.55707763,97.55707763,100,18.63334308
Netherlands,2017,2018-10-09T21:18:14.083Z,STA-NL00246,SPO-NL00246_00008_100,51.65277863,4.51388884,Nitrogen dioxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,ug.m-3,1/1/2017,1/1/2018,Valid,Verified,96.14155251,96.14155251,100,18.4154785
Netherlands,2017,2018-10-09T21:18:14.083Z,STA-NL00301,SPO-NL00301_00008_101,51.63555908,3.91694736,Nitrogen dioxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,ug.m-3,1/1/2017,1/1/2018,Valid,Verified,97.84246575,97.84246575,100,14.77305564
Netherlands,2017,2018-10-09T21:18:14.083Z,STA-NL00241,SPO-NL00241_00008_100,51.60333252,4.78084707,Nitrogen dioxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,ug.m-3,1/1/2017,1/1/2018,Valid,Verified,92.87671233,92.87671233,100,23.28607423
Netherlands,2017,2018-10-09T21:18:14.083Z,STA-NL00240,SPO-NL00240_00008_100,51.59360886,4.82500839,Nitrogen dioxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,ug.m-3,1/1/2017,1/1/2018,Valid,Verified,90.29680365,90.29680365,100,33.34264095
Netherlands,2017,2018-10-09T21:18:14.083Z,STA-NL00131,SPO-NL00131_00008_111,51.54111099,5.85361385,Nitrogen dioxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,ug.m-3,1/1/2017,1/1/2018,Valid,Verified,95.46803653,95.46803653,100,18.53027621
Netherlands,2017,2018-10-09T21:18:14.083Z,STA-NL00230,SPO-NL00230_00008_101,51.51944351,5.14890242,Nitrogen dioxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,ug.m-3,1/1/2017,1/1/2018,Valid,Verified,98.74429224,98.74429224,100,21.08552716
Netherlands,2017,2018-10-09T21:18:14.083Z,STA-NL00236,SPO-NL00236_00008_101,51.46972275,5.47278357,Nitrogen dioxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,ug.m-3,1/1/2017,1/1/2018,Valid,Verified,99.7260274,99.7260274,100,24.466614
Netherlands,2017,2018-10-09T21:18:14.083Z,STA-NL00237,SPO-NL00237_00008_101,51.44528,5.4289,Nitrogen dioxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,ug.m-3,1/1/2017,1/1/2018,Valid,Verified,95.58219178,95.58219178,100,29.48280305
Netherlands,2017,2018-10-09T21:18:14.083Z,STA-NL00235,SPO-NL00235_00008_101,51.43500137,4.36028624,Nitrogen dioxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,ug.m-3,1/1/2017,1/1/2018,Valid,Verified,98.07077626,98.07077626,100,17.87514957
Netherlands,2017,2018-10-09T21:18:14.083Z,STA-NL00247,SPO-NL00247_00008_100,51.40750122,5.39333344,Nitrogen dioxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,ug.m-3,1/1/2017,1/1/2018,Valid,Verified,98.84703196,98.84703196,100,19.21197943
Netherlands,2017,2018-10-09T21:18:14.083Z,STA-NL00318,SPO-NL00318_00008_111,51.29527664,3.74945831,Nitrogen dioxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,ug.m-3,1/1/2017,1/1/2018,Valid,Verified,97.80821918,97.80821918,100,15.348771
Netherlands,2017,2018-10-09T21:18:14.083Z,STA-NL00107,SPO-NL00107_00008_101,51.1202774,6.04306364,Nitrogen dioxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,ug.m-3,1/1/2017,1/1/2018,Valid,Verified,96.44977169,96.44977169,100,17.04429399
Netherlands,2017,2018-10-09T21:18:14.083Z,STA-NL00133,SPO-NL00133_00008_101,50.9030571,5.882236,Nitrogen dioxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,ug.m-3,1/1/2017,1/1/2018,Valid,Verified,97.55707763,97.55707763,100,14.20514158
Netherlands,2017,2018-10-09T21:18:14.083Z,STA-NL00138,SPO-NL00138_00008_100,50.900317,5.986853,Nitrogen dioxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,ug.m-3,1/1/2017,1/1/2018,Valid,Verified,97.26027397,97.26027397,100,16.85126525
Netherlands,2017,2018-10-09T21:18:14.083Z,STA-NL00136,SPO-NL00136_00008_100,50.88805771,5.97111416,Nitrogen dioxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,ug.m-3,1/1/2017,1/1/2018,Valid,Verified,92.20319635,92.20319635,100,26.43825925
